"from","to","weight","hourdiff","is_duplicate"
"187419572","187419643",0.999,0,"from"
"187419582","187419649",1,0,"from"
"187419589","187419676",1,0,"from"
"187419591","187419690",1,0,"from"
"187419596","187419655",1,0,"from"
"187419598","187419662",1,0,"from"
"187419601","187421321",0.4843,24,"to"
"187419603","187419671",1,0,"from"
"187419603","187421404",0.4186,24,"both"
"187419606","187419721",1,0,"from"
"187419607","187419720",1,0,"from"
"187419615","187419726",1,0,"from"
"187419622","187419639",1,0,"from"
"187419628","187419717",1,0,"from"
"187419639","187419622",1,0,"to"
"187419640","187421348",0.4191,24,"to"
"187419643","187419572",0.999,0,"to"
"187419649","187419582",1,0,"to"
"187419652","187421388",0.4695,24,"to"
"187419655","187419596",1,0,"to"
"187419658","187419718",0.5238,0,"from"
"187419660","187421286",0.5346,24,"to"
"187419662","187419598",1,0,"to"
"187419671","187419603",1,0,"to"
"187419671","187421404",0.4186,24,"to"
"187419673","187419703",1,0,"from"
"187419676","187419589",1,0,"to"
"187419684","187419695",1,0,"from"
"187419690","187419591",1,0,"to"
"187419695","187419684",1,0,"to"
"187419703","187419673",1,0,"to"
"187419711","187421369",0.4471,24,"to"
"187419717","187419628",1,0,"to"
"187419718","187419658",0.5238,0,"to"
"187419720","187419607",1,0,"to"
"187419721","187419606",1,0,"to"
"187419726","187419615",1,0,"to"
"187419727","187419785",1,0,"from"
"187419729","187419781",1,0,"from"
"187419730","187419761",1,0,"from"
"187419733","187421245",0.5838,24,"to"
"187419740","187419790",1,0,"from"
"187419746","187419773",1,0,"from"
"187419747","187419750",1,0,"from"
"187419750","187419747",1,0,"to"
"187419761","187419730",1,0,"to"
"187419764","187419782",1,0,"from"
"187419773","187419746",1,0,"to"
"187419778","187419787",1,0,"from"
"187419781","187419729",1,0,"to"
"187419782","187419764",1,0,"to"
"187419785","187419727",1,0,"to"
"187419787","187419778",1,0,"to"
"187419790","187419740",1,0,"to"
"187419902","187419934",1,0,"both"
"187419902","187419981",1,0,"from"
"187419903","187426284",0.441,24,"to"
"187419904","187426298",0.484,24,"to"
"187419907","187419937",1,0,"from"
"187419916","187419979",1,0,"from"
"187419917","187426334",0.642,24,"to"
"187419919","187419966",1,0,"from"
"187419922","187426305",0.5897,24,"to"
"187419922","187426331",0.5897,24,"to"
"187419934","187419902",1,0,"both"
"187419934","187419981",1,0,"from"
"187419935","187426311",0.4015,24,"to"
"187419935","187426314",0.4104,24,"to"
"187419937","187419907",1,0,"to"
"187419941","187426282",1,24,"to"
"187419942","187419961",1,0,"both"
"187419942","187419963",1,0,"from"
"187419944","187419955",1,0,"from"
"187419949","187426293",1,24,"to"
"187419952","187426343",1,24,"to"
"187419953","187426333",0.5792,24,"to"
"187419955","187419944",1,0,"to"
"187419956","187419972",1,0,"from"
"187419959","187426325",0.6203,24,"to"
"187419960","187426339",0.8674,24,"to"
"187419961","187419942",1,0,"both"
"187419961","187419963",1,0,"from"
"187419963","187419942",1,0,"to"
"187419963","187419961",1,0,"to"
"187419964","187426323",0.5226,24,"to"
"187419965","187419974",1,0,"from"
"187419966","187419919",1,0,"to"
"187419972","187419956",1,0,"to"
"187419974","187419965",1,0,"to"
"187419979","187419916",1,0,"to"
"187419981","187419902",1,0,"to"
"187419981","187419934",1,0,"to"
"187421177","187421196",1,0,"from"
"187421178","187421237",0.69,0,"from"
"187421179","187421226",1,0,"from"
"187421190","187421227",1,0,"from"
"187421195","187421197",1,0,"from"
"187421196","187421177",1,0,"to"
"187421197","187421195",1,0,"to"
"187421220","187421231",1,0,"from"
"187421226","187421179",1,0,"to"
"187421227","187421190",1,0,"to"
"187421231","187421220",1,0,"to"
"187421236","187421248",1,0,"from"
"187421237","187421178",0.69,0,"to"
"187421245","187419733",0.5838,-24,"from"
"187421245","187453468",0.6092,24,"both"
"187421248","187421236",1,0,"to"
"187421252","187421265",1,0,"from"
"187421256","187421322",1,0,"from"
"187421258","187421338",1,0,"from"
"187421261","187421297",1,0,"from"
"187421262","187453571",0.4096,24,"to"
"187421265","187421252",1,0,"to"
"187421268","187421312",1,0,"from"
"187421271","187421299",1,0,"from"
"187421278","187421282",1,0,"from"
"187421281","187453544",0.4074,24,"to"
"187421282","187421278",1,0,"to"
"187421286","187419660",0.5346,-24,"from"
"187421289","187421329",1,0,"from"
"187421291","187421302",1,0,"from"
"187421297","187421261",1,0,"to"
"187421299","187421271",1,0,"to"
"187421300","187421307",1,0,"from"
"187421302","187421291",1,0,"to"
"187421307","187421300",1,0,"to"
"187421311","187421323",1,0,"both"
"187421311","187421334",1,0,"both"
"187421311","187421336",1,0,"from"
"187421312","187421268",1,0,"to"
"187421321","187419601",0.4843,-24,"from"
"187421321","187453668",0.4631,24,"both"
"187421321","187453703",0.4024,24,"both"
"187421322","187421256",1,0,"to"
"187421323","187421311",1,0,"both"
"187421323","187421334",1,0,"both"
"187421323","187421336",1,0,"from"
"187421329","187421289",1,0,"to"
"187421334","187421311",1,0,"both"
"187421334","187421323",1,0,"both"
"187421334","187421336",1,0,"from"
"187421336","187421311",1,0,"to"
"187421336","187421323",1,0,"to"
"187421336","187421334",1,0,"to"
"187421338","187421258",1,0,"to"
"187421343","187421425",1,0,"from"
"187421346","187453656",0.4175,24,"to"
"187421348","187419640",0.4191,-24,"from"
"187421349","187421361",1,0,"from"
"187421354","187421396",1,0,"from"
"187421356","187453568",0.4314,24,"to"
"187421361","187421349",1,0,"to"
"187421369","187419711",0.4471,-24,"from"
"187421369","187453676",0.6299,24,"both"
"187421370","187421385",1,0,"from"
"187421373","187421409",1,0,"from"
"187421385","187421370",1,0,"to"
"187421388","187419652",0.4695,-24,"from"
"187421396","187421354",1,0,"to"
"187421404","187419603",0.4186,-24,"both"
"187421404","187419671",0.4186,-24,"from"
"187421409","187421373",1,0,"to"
"187421422","187421431",1,0,"from"
"187421425","187421343",1,0,"to"
"187421431","187421422",1,0,"to"
"187426275","187426347",1,0,"from"
"187426282","187419941",1,-24,"from"
"187426282","187459483",1,24,"both"
"187426284","187419903",0.441,-24,"from"
"187426288","187426309",1,0,"from"
"187426290","187426364",1,0,"from"
"187426293","187419949",1,-24,"from"
"187426293","187459456",1,24,"both"
"187426298","187419904",0.484,-24,"from"
"187426299","187426306",1,0,"both"
"187426299","187426319",1,0,"both"
"187426299","187426348",0.4704,0,"from"
"187426301","187426328",1,0,"from"
"187426305","187419922",0.5897,-24,"from"
"187426305","187426331",1,0,"both"
"187426306","187426299",1,0,"both"
"187426306","187426319",1,0,"both"
"187426306","187426348",0.4704,0,"from"
"187426309","187426288",1,0,"to"
"187426311","187419935",0.4015,-24,"from"
"187426311","187426314",0.5156,0,"both"
"187426311","187426340",0.4811,0,"from"
"187426311","187459463",0.4598,24,"both"
"187426311","187459476",0.477,24,"both"
"187426314","187419935",0.4104,-24,"from"
"187426314","187426311",0.5156,0,"both"
